Date,Ball_1,Ball_2,Ball_3,Ball_4,Ball_5,Ball_6,Bonus_Ball
21/02/2017,3,27,28,30,31,35,7
25/02/2017,1,6,18,24,28,35,2
28/02/2017,5,7,13,15,18,23,2
04/03/2017,3,8,9,12,27,33,3
07/03/2017,10,11,17,19,26,30,5
11/03/2017,11,13,18,20,25,29,7
14/03/2017,13,20,26,30,31,34,2
18/03/2017,3,11,22,24,33,36,7
21/03/2017,3,10,13,18,25,26,6
23/03/2017,3,8,10,11,26,36,2
25/03/2017,14,15,16,24,32,36,1
28/03/2017,13,15,21,23,30,36,6
01/04/2017,6,14,15,18,22,36,4
04/04/2017,4,5,16,24,33,34,2
06/04/2017,5,6,7,24,27,32,5
